2018-06-08 14:59:03,749 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@174d20a: startup date [Fri Jun 08 14:59:03 CST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2018-06-08 14:59:04,242 | INFO  | PListStore:[D:\software\apache-activemq-5.9.1\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2018-06-08 14:59:04,254 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\software\apache-activemq-5.9.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2018-06-08 14:59:04,506 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:DESKTOP-AIP0B5D-62618-1528441144392-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2018-06-08 14:59:04,521 | INFO  | Listening for connections at: tcp://DESKTOP-AIP0B5D:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-08 14:59:04,521 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2018-06-08 14:59:04,524 | INFO  | Listening for connections at: amqp://DESKTOP-AIP0B5D:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-08 14:59:04,525 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2018-06-08 14:59:04,528 | INFO  | Listening for connections at: stomp://DESKTOP-AIP0B5D:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-08 14:59:04,528 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2018-06-08 14:59:04,532 | INFO  | Listening for connections at: mqtt://DESKTOP-AIP0B5D:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-06-08 14:59:04,533 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2018-06-08 14:59:04,645 | INFO  | Listening for connections at ws://DESKTOP-AIP0B5D:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2018-06-08 14:59:04,646 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2018-06-08 14:59:04,647 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:DESKTOP-AIP0B5D-62618-1528441144392-0:1) started | org.apache.activemq.broker.BrokerService | main
2018-06-08 14:59:04,647 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2018-06-08 14:59:04,957 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2018-06-08 14:59:05,010 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2018-06-08 14:59:05,167 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2018-06-08 14:59:56,282 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7921b0a2: startup date [Fri Jun 08 14:59:56 CST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2018-06-08 14:59:56,930 | INFO  | PListStore:[D:\software\apache-activemq-5.9.1\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2018-06-08 14:59:56,947 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\software\apache-activemq-5.9.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2018-06-08 14:59:57,190 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-06-08 14:59:57,227 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-06-08 14:59:57,228 | INFO  | Recovery replayed 8 operations from the journal in 0.035 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
